geo_id,departamento,municipio,altitud,latitud,longitud
17433,caldas,manzanares,1974.0,5.266,-75.144
17442,caldas,marmato,650.0,5.467,-75.617
17444,caldas,marquetalia,1550.0,5.299,-75.057
17446,caldas,marulanda,1700.0,5.278,-75.267
17486,caldas,neira,1030.2,5.218,-75.583
17495,caldas,norcasia,737.0,5.574,-74.892
17524,caldas,palestina-caldas,899.333,5.106,-75.685
17541,caldas,pensilvania,216.0,5.374,-75.149
17513,caldas,pácora,1301.0,5.511,-75.511
17614,caldas,riosucio-caldas,1846.5,5.431,-75.712
17616,caldas,risaralda,980.0,5.133,-75.717
17653,caldas,salamina-caldas,2388.75,5.386,-75.379
17662,caldas,samaná,1553.5,5.476,-75.025
17777,caldas,supia,1192.0,5.453,-75.653
17867,caldas,victoria,497.25,5.446,-74.852
17873,caldas,villamaria,3586.235,4.883,-75.407
17877,caldas,viterbo,128.0,5.067,-75.883
18150,caquetá,cartagena-del-chairá,200.0,-0.166,-73.097
18247,caquetá,el-doncello,374.333,1.666,-75.224
18001,caquetá,florencia-caquetá,423.0,1.653,-75.62
18753,caquetá,san-vicente-del-caguán,485.0,2.088,-74.767
18756,caquetá,solano,168.286,-0.254,-73.286
85010,casanare,aguazul,294.833,5.144,-72.517
85015,casanare,chámeza,180.0,5.204,-72.903
85125,casanare,hato-corozal,354.2,6.025,-71.853
85139,casanare,mani,180.0,4.561,-72.059
85162,casanare,monterrey,598.0,4.936,-72.883
85225,casanare,nunchía,308.0,5.575,-72.15
85230,casanare,orocué,131.333,4.837,-71.453
85250,casanare,paz-de-ariporo,264.667,5.759,-71.326
85263,casanare,pore,355.0,5.689,-72.021
85300,casanare,sabanalarga-casanare,350.333,4.779,-73.026
85325,casanare,san-luis-de-palenque,170.0,5.42,-71.728
85315,casanare,sácama,120.0,6.088,-72.191
85410,casanare,tauramena,344.2,4.9,-72.72
85430,casanare,trinidad,221.5,5.417,-71.667
85400,casanare,támara,233.5,5.783,-72.135
85440,casanare,villanueva-casanare,255.0,4.655,-72.917
85001,casanare,yopal,386.25,5.405,-72.371
19050,cauca,argelia-cauca,1750.0,2.311,-77.259
19075,cauca,balboa-cauca,1700.0,2.033,-77.222
19110,cauca,buenos-aires,751.375,3.0,-76.649
19130,cauca,cajibío,1267.5,2.647,-76.667
19137,cauca,caldono,293.0,2.881,-76.408
19142,cauca,caloto,270.6,3.063,-76.372
19212,cauca,corinto,1107.0,3.179,-76.248
19256,cauca,el-tambo-cauca,1326.6,2.533,-76.96
19318,cauca,guapi,59.625,2.812,-78.03
19355,cauca,inzá,2170.0,2.519,-76.11
19364,cauca,jambaló,30.0,2.733,-76.333
19392,cauca,la-sierra,1870.0,2.18,-76.758
19418,cauca,lópez,111.667,2.977,-77.288
19455,cauca,miranda,944.5,3.252,-76.244
19473,cauca,morales-cauca,1692.0,2.769,-76.624
19532,cauca,patía-el-bordo,715.625,2.193,-77.029
19548,cauca,piendamó,1830.0,2.648,-76.528
19001,cauca,popayán,1537.692,2.471,-76.572
19573,cauca,puerto-tejada,983.0,3.263,-76.414
19585,cauca,puracé-coconuco,2422.053,2.303,-76.357
19517,cauca,páez-belalcázar,1726.455,2.735,-76.007
19622,cauca,rosas,1625.0,2.247,-76.763
19701,cauca,santa-rosa-cauca,1332.5,1.636,-76.553
19698,cauca,santander-de-quilichao,636.667,2.991,-76.514
19743,cauca,silvia,1894.333,2.66,-76.347
19760,cauca,sotará-paispamba,2443.333,2.238,-76.604
19780,cauca,suárez-cauca,1171.0,2.943,-76.707
19809,cauca,timbiquí,33.333,2.811,-77.584
19807,cauca,timbío,1820.0,2.335,-76.62
19821,cauca,toribío,1782.0,2.993,-76.248
19824,cauca,totoró,1867.333,2.505,-76.357
19845,cauca,villa-rica,988.0,3.179,-76.463
20011,cesar,aguachica,166.7,8.208,-73.623
20013,cesar,agustín-codazzi,280.846,9.918,-73.281
20032,cesar,astrea,43.333,9.54,-73.881
20045,cesar,becerrill,118.667,9.763,-73.268
20060,cesar,bosconia,101.875,9.962,-73.864
20175,cesar,chimichagua,71.6,9.238,-73.787
20178,cesar,chiriguaná,75.0,9.365,-73.541
20228,cesar,curumaní,222.667,9.204,-73.539
20238,cesar,el-copey,110.75,10.204,-74.017
20250,cesar,el-paso,52.857,9.654,-73.673
20295,cesar,gamarra,861.4,8.268,-73.753
20383,cesar,la-gloria,166.0,8.532,-73.641
20400,cesar,la-jagua-de-ibirico,170.0,9.562,-73.339
20621,cesar,la-paz-cesar,505.0,10.35,-73.111
20443,cesar,manaure-balcón-del-cesar,1918.0,10.365,-72.998
20517,cesar,pailitas,174.75,8.98,-73.614
20550,cesar,pelaya,40.0,8.713,-73.703
20570,cesar,pueblo-bello,640.0,10.515,-73.585
20614,cesar,río-de-oro,750.75,8.204,-73.466
20710,cesar,san-alberto,229.0,7.766,-73.436
20750,cesar,san-diego,164.0,10.128,-73.277
20770,cesar,san-martín-cesar,271.0,7.996,-73.44
20787,cesar,tamalameque,26.5,8.864,-73.816
20001,cesar,valledupar,270.242,10.343,-73.413
27006,chocó,acandí,2.0,8.532,-77.28
27025,chocó,alto-baudó-pie-de-pato,40.0,5.521,-76.973
27073,chocó,bagadó,90.0,5.412,-76.418
27075,chocó,bahía-solano-mutis,9.0,6.4,-77.443
27099,chocó,bojayá-bellavista,35.0,6.673,-76.978
27150,chocó,carmen-del-darién-curbaradó,25.0,7.083,-76.917
27205,chocó,condoto,61.0,5.084,-76.679
27160,chocó,cértegui,77.0,5.375,-76.613
27135,chocó,el-cantón-del-san-pablo-managrú,64.0,5.334,-76.728
27245,chocó,el-carmen-choco,1579.444,5.809,-76.214
27250,chocó,el-litoral-del-san-juán-docordó,14.5,4.227,-77.08
27361,chocó,istmina,38.75,4.901,-76.831
27372,chocó,juradó,200.0,7.05,-77.65
27413,chocó,lloró,76.0,5.503,-76.544
27050,chocó,medio-atrato-beté,62.5,6.105,-76.868
27430,chocó,medio-baudó-boca-de-pepé,31.0,5.19,-76.954
27450,chocó,medio-san-juan,39.5,4.898,-76.831
27495,chocó,nuquí,26.667,5.588,-77.492
27491,chocó,nóvita,81.0,4.949,-76.59
27001,chocó,quibdó,33.833,5.913,-76.651
27600,chocó,rio-quito-paimadó,44.0,5.554,-76.745
27615,chocó,riosucio-choco,23.167,7.45,-77.205
27660,chocó,san-josé-del-palmar,1149.5,4.869,-76.249
27745,chocó,sipí,110.0,4.667,-76.65
27787,chocó,tadó,93.0,5.268,-76.557
27800,chocó,unguía,8.0,8.194,-77.068
25035,cundinamarca,anapoima,810.0,4.582,-74.527
25040,cundinamarca,anolaima,1882.5,4.788,-74.441
25099,cundinamarca,bojacá,2610.0,4.696,-74.334
25120,cundinamarca,cabrera-cundinamarca,1601.0,3.964,-74.453
25148,cundinamarca,caparrapí,1235.0,5.419,-74.479
25154,cundinamarca,carmen-de-carupa,3035.667,5.343,-73.884
25168,cundinamarca,chaguaní,1200.0,4.985,-74.581
25181,cundinamarca,choachí,2780.0,4.558,-73.963
25183,cundinamarca,chocontá,2776.333,5.085,-73.711
25175,cundinamarca,chía,2550.0,4.886,-74.054
25214,cundinamarca,cota,2570.0,4.833,-74.1
25224,cundinamarca,cucunubá,3.0,5.25,-73.77
25151,cundinamarca,cáqueza,1696.5,4.4,-73.927
25245,cundinamarca,el-colegio,1600.0,4.573,-74.405
25258,cundinamarca,el-peñón-cundinamarca,1400.0,5.253,-74.294
25269,cundinamarca,facatativá,2671.667,4.833,-74.347
25286,cundinamarca,funza,2560.0,4.743,-74.176
25290,cundinamarca,fusagasugá,1900.0,4.388,-74.33
25279,cundinamarca,fómeque,1900.0,4.487,-73.89
25288,cundinamarca,fúquene,2580.0,5.467,-73.735
25293,cundinamarca,gachalá,1206.571,4.697,-73.491
25295,cundinamarca,gachancipá,2750.0,4.983,-73.865
25297,cundinamarca,gachetá,1918.0,4.833,-73.63
25299,cundinamarca,gama,2175.0,4.765,-73.613
25307,cundinamarca,girardot,283.0,4.294,-74.812
25317,cundinamarca,guachetá,2690.0,5.386,-73.691
25320,cundinamarca,guaduas,289.0,5.199,-74.677
25322,cundinamarca,guasca,3070.2,4.816,-73.843
25326,cundinamarca,guatavita,2848.333,4.872,-73.765
25328,cundinamarca,guayabal-de-síquima,2200.0,4.842,-74.462
25335,cundinamarca,guayabetal,985.0,4.218,-73.81
25339,cundinamarca,gutiérrez,2248.333,4.179,-74.034
25368,cundinamarca,jerusalén,297.0,4.562,-74.702
25372,cundinamarca,junín,2316.5,4.739,-73.671
25377,cundinamarca,la-calera,3030.667,4.664,-73.844
25394,cundinamarca,la-palma,1201.0,5.303,-74.367
25402,cundinamarca,la-vega,1877.5,4.934,-74.337
25407,cundinamarca,lenguazaque,2620.0,5.316,-73.705
25426,cundinamarca,machetá,1948.333,5.081,-73.588
